date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:16	576/576	---M--	200	added ('OK')	text/plain	date:Wed,%2003%20Jun%202015%2011:06:21%20GMT	https://java.com/robots.txt		(from )
14:40:21	13459/13459	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Mar%202019%2009:10:21%20GMT	https://java.com/en/download/help/	C:/My%20Web%20Sites/help/java.com/en/download/help/index.html	(from )
14:40:23	21926/21926	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Aug%202014%2023:59:13%20GMT	https://java.com/ga/css/screen.css	C:/My%20Web%20Sites/help/java.com/ga/css/ga-screen.css;filename_=UTF-8''ga-screen.css	(from https://java.com/en/download/help/)
14:40:23	1068/1068	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Nov%202013%2017:22:25%20GMT	https://java.com/ga/css/print.css	C:/My%20Web%20Sites/help/java.com/ga/css/print.css;filename_=UTF-8''print.css	(from https://java.com/en/download/help/)
14:40:44	1547/1547	---M-Z	-1	error ('Error%20when%20decompressing')	text/javascript	date:Fri,%2029%20Mar%202019%2009:10:45%20GMT	http://consent.trustarc.com/notice?domain=oracle.com&c=teconsent&js=bb&noticeType=bb&text=true&gtm=1&language=en	C:/My%20Web%20Sites/help/consent.trustarc.com/notice.257e0.delayed	(from https://java.com/en/download/help/)
14:40:44	10632/10632	---M-Z	200	added ('OK')	application/javascript	etag:W/%2257b31a1f-2988%22	https://dyn-beacon.akamaized.net/js/dyn.beacon.v4.js	C:/My%20Web%20Sites/help/dyn-beacon.akamaized.net/js/dyn.beacon.v4.js	(from https://java.com/en/download/help/)
14:40:51	7268/7268	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Mar%202019%2009:10:53%20GMT	https://java.com/en/download/help/ak.m	C:/My%20Web%20Sites/help/java.com/en/download/help/ak.4.delayed	(from https://java.com/en/download/help/)
14:40:51	99/99	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Dec%202013%2021:44:41%20GMT	https://java.com/ga/images/jv0_search_btn.gif	C:/My%20Web%20Sites/help/java.com/ga/images/jv0_search_btn.gif;filename_=UTF-8''jv0_search_btn.gif	(from https://java.com/en/download/help/)
14:40:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20Mar%202019%2009:10:53%20GMT	https://java.com/en/download/help/firefox_java.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/firefox_java.xml	(from https://java.com/en/download/help/)
14:40:52	11758/11758	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Mar%202019%2004:40:02%20GMT	https://java.com/en/download/help/java_crash_video_driver.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/java_crash_video_driver.html	(from https://java.com/en/download/help/)
14:40:53	24067/24067	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Mar%202019%2006:45:49%20GMT	https://java.com/en/download/help/troubleshoot_java.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/troubleshoot_java.html	(from https://java.com/en/download/help/)
14:40:55	11703/11703	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Mar%202019%2006:09:48%20GMT	https://java.com/en/download/help/java_printing.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/java_printing.html	(from https://java.com/en/download/help/)
14:40:55	14468/14468	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Mar%202019%2008:10:12%20GMT	https://java.com/en/download/help/java_blocked.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/java_blocked.html	(from https://java.com/en/download/help/)
14:40:55	11273/11273	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Mar%202019%2009:01:10%20GMT	https://java.com/en/download/help/restore_prompts.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/restore_prompts.html	(from https://java.com/en/download/help/)
14:40:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20Mar%202019%2009:10:57%20GMT	https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.xml	(from https://java.com/en/download/help/)
14:40:59	9700/9700	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Mar%202019%2009:10:59%20GMT	https://java.com/en/download/help/index_installing.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index_installing.html	(from https://java.com/en/download/help/)
14:41:00	14152/14152	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Feb%202019%2004:55:16%20GMT	https://java.com/en/download/help/disable_browser.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/disable_browser.html	(from https://java.com/en/download/help/)
14:41:03	13714/13714	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Mar%202019%2009:11:03%20GMT	https://java.com/en/download/help/index_using.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index_using.html	(from https://java.com/en/download/help/)
14:41:03	1206/1206	---M--	200	added ('OK')	application/javascript	date:Mon,%2029%20Oct%202018%2017:59:52%20GMT	https://java.com/ga/js/global.js	C:/My%20Web%20Sites/help/java.com/ga/js/global.js;filename_=UTF-8''global.js	(from https://java.com/en/download/help/)
14:41:04	7268/7268	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Mar%202019%2009:11:06%20GMT	https://java.com/en/download/help/en_javac:Support:Help:index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/en_javac_Support_Help_index.xml	(from https://java.com/en/download/help/)
